t, ref_c, humidity, v_ch1, v_ch2
1689038475.790045, 24.535, 53.103, 9.999589920e+00, 9.999706268e+00
1689038477.2086353, 24.541, 53.105, 9.999582291e+00, 9.999709129e+00
1689038478.6271136, 24.552, 53.102, 9.999559402e+00, 9.999706268e+00
1689038480.0454428, 24.544, 53.102, 9.999553680e+00, 9.999709129e+00
1689038481.463914, 24.545, 53.11, 9.999572754e+00, 9.999711990e+00
1689038482.88248, 24.552, 53.106, 9.999563217e+00, 9.999702454e+00
1689038484.3007588, 24.538, 53.107, 9.999580383e+00, 9.999704361e+00
1689038485.7192595, 24.545, 53.106, 9.999570847e+00, 9.999709129e+00
1689038487.1377702, 24.545, 53.106, 9.999563217e+00, 9.999702454e+00
1689038488.5562975, 24.553, 53.109, 9.999566078e+00, 9.999711990e+00
1689038489.9746392, 24.555, 53.109, 9.999589920e+00, 9.999711990e+00
1689038491.393177, 24.553, 53.113, 9.999580383e+00, 9.999704361e+00
1689038492.8116393, 24.555, 53.11, 9.999578476e+00, 9.999694824e+00
1689038494.229987, 24.544, 53.106, 9.999594688e+00, 9.999675751e+00
1689038495.6484723, 24.552, 53.115, 9.999591827e+00, 9.999694824e+00
1689038497.0670428, 24.549, 53.106, 9.999608994e+00, 9.999690056e+00
1689038498.485514, 24.547, 53.107, 9.999597549e+00, 9.999683380e+00
1689038499.9038303, 24.544, 53.106, 9.999582291e+00, 9.999685287e+00
1689038501.3223486, 24.541, 53.115, 9.999568939e+00, 9.999685287e+00
1689038502.7408369, 24.55, 53.117, 9.999585152e+00, 9.999696732e+00
1689038504.1591735, 24.55, 53.119, 9.999588013e+00, 9.999685287e+00
1689038505.577697, 24.556, 53.111, 9.999588013e+00, 9.999696732e+00
1689038506.9961972, 24.553, 53.12, 9.999580383e+00, 9.999694824e+00
1689038508.4145508, 24.559, 53.12, 9.999551773e+00, 9.999692917e+00
1689038509.833028, 24.555, 53.123, 9.999561310e+00, 9.999706268e+00
1689038511.2515516, 24.556, 53.119, 9.999572754e+00, 9.999725342e+00
1689038512.6700802, 24.553, 53.125, 9.999561310e+00, 9.999713898e+00
1689038514.0884154, 24.553, 53.118, 9.999556541e+00, 9.999721527e+00
1689038515.5069091, 24.553, 53.116, 9.999563217e+00, 9.999718666e+00
1689038516.9254062, 24.555, 53.123, 9.999559402e+00, 9.999709129e+00
1689038518.3437667, 24.556, 53.118, 9.999556541e+00, 9.999702454e+00
1689038519.7622788, 24.558, 53.118, 9.999570847e+00, 9.999713898e+00
1689038521.180819, 24.553, 53.118, 9.999561310e+00, 9.999706268e+00
1689038522.5991125, 24.558, 53.12, 9.999566078e+00, 9.999728203e+00
1689038524.0177095, 24.556, 53.122, 9.999578476e+00, 9.999721527e+00
1689038525.4360993, 24.553, 53.121, 9.999566078e+00, 9.999685287e+00
1689038526.854689, 24.556, 53.121, 9.999578476e+00, 9.999694824e+00
1689038528.2729797, 24.559, 53.125, 9.999575615e+00, 9.999685287e+00
1689038529.6914926, 24.559, 53.126, 9.999568939e+00, 9.999696732e+00
1689038531.1099808, 24.556, 53.118, 9.999585152e+00, 9.999687195e+00
1689038532.528317, 24.556, 53.122, 9.999585152e+00, 9.999664307e+00
1689038533.9468362, 24.558, 53.123, 9.999578476e+00, 9.999673843e+00
1689038535.3653681, 24.562, 53.116, 9.999580383e+00, 9.999677658e+00
1689038536.7836943, 24.553, 53.119, 9.999580383e+00, 9.999685287e+00
1689038538.202192, 24.561, 53.117, 9.999597549e+00, 9.999666214e+00
1689038539.620698, 24.561, 53.121, 9.999566078e+00, 9.999670982e+00
1689038541.0391846, 24.558, 53.118, 9.999572754e+00, 9.999677658e+00
1689038542.4575405, 24.555, 53.126, 9.999575615e+00, 9.999683380e+00
1689038543.87605, 24.558, 53.133, 9.999568939e+00, 9.999680519e+00
1689038545.294548, 24.553, 53.123, 9.999570847e+00, 9.999673843e+00
1689038546.7128835, 24.564, 53.118, 9.999568939e+00, 9.999692917e+00
1689038548.1314018, 24.562, 53.123, 9.999572754e+00, 9.999690056e+00
1689038549.5499556, 24.565, 53.12, 9.999551773e+00, 9.999694824e+00
1689038550.968271, 24.567, 53.123, 9.999561310e+00, 9.999680519e+00
1689038552.3867216, 24.559, 53.119, 9.999563217e+00, 9.999683380e+00
1689038553.8052511, 24.568, 53.118, 9.999570847e+00, 9.999692917e+00
1689038555.223622, 24.564, 53.116, 9.999559402e+00, 9.999696732e+00
1689038556.642123, 24.567, 53.118, 9.999551773e+00, 9.999696732e+00
1689038558.0606682, 24.571, 53.114, 9.999561310e+00, 9.999702454e+00
1689038559.4792027, 24.576, 53.11, 9.999561310e+00, 9.999692917e+00
1689038560.897431, 24.571, 53.12, 9.999568939e+00, 9.999709129e+00
1689038562.3159432, 24.573, 53.118, 9.999580383e+00, 9.999692917e+00
1689038563.734448, 24.571, 53.118, 9.999572754e+00, 9.999702454e+00
1689038565.1527889, 24.571, 53.114, 9.999570847e+00, 9.999704361e+00
1689038566.571297, 24.562, 53.111, 9.999563217e+00, 9.999694824e+00
1689038567.9898212, 24.558, 53.115, 9.999572754e+00, 9.999699593e+00
1689038569.4081442, 24.565, 53.117, 9.999570847e+00, 9.999702454e+00
1689038570.8267024, 24.559, 53.12, 9.999578476e+00, 9.999704361e+00
1689038572.245149, 24.561, 53.117, 9.999589920e+00, 9.999706268e+00
1689038573.6637151, 24.561, 53.117, 9.999578476e+00, 9.999702454e+00
1689038575.0820014, 24.553, 53.123, 9.999589920e+00, 9.999699593e+00
1689038576.5005019, 24.555, 53.128, 9.999582291e+00, 9.999709129e+00
1689038577.91903, 24.556, 53.121, 9.999580383e+00, 9.999696732e+00
1689038579.3373919, 24.556, 53.127, 9.999582291e+00, 9.999706268e+00
1689038580.7559257, 24.562, 53.132, 9.999570847e+00, 9.999706268e+00
1689038582.1745825, 24.561, 53.134, 9.999589920e+00, 9.999694824e+00
1689038583.592756, 24.561, 53.137, 9.999582291e+00, 9.999685287e+00
1689038585.011282, 24.565, 53.141, 9.999580383e+00, 9.999696732e+00
1689038586.4297512, 24.57, 53.143, 9.999566078e+00, 9.999704361e+00
1689038587.8480973, 24.564, 53.146, 9.999580383e+00, 9.999696732e+00
1689038589.2665765, 24.559, 53.15, 9.999568939e+00, 9.999690056e+00
1689038590.685093, 24.564, 53.146, 9.999570847e+00, 9.999715805e+00
1689038592.1035962, 24.561, 53.144, 9.999575615e+00, 9.999704361e+00
1689038593.521971, 24.565, 53.155, 9.999578476e+00, 9.999687195e+00
1689038594.9404557, 24.562, 53.15, 9.999578476e+00, 9.999692917e+00
1689038596.3590224, 24.568, 53.151, 9.999561310e+00, 9.999687195e+00
1689038597.7773337, 24.575, 53.152, 9.999563217e+00, 9.999692917e+00
1689038599.1958086, 24.567, 53.156, 9.999570847e+00, 9.999694824e+00
1689038600.6143281, 24.568, 53.164, 9.999575615e+00, 9.999702454e+00
1689038602.0326421, 24.573, 53.159, 9.999575615e+00, 9.999699593e+00
1689038603.451154, 24.573, 53.165, 9.999572754e+00, 9.999696732e+00
1689038604.869662, 24.576, 53.168, 9.999580383e+00, 9.999685287e+00
1689038606.2881858, 24.575, 53.169, 9.999572754e+00, 9.999694824e+00
1689038607.7065163, 24.561, 53.162, 9.999572754e+00, 9.999687195e+00
1689038609.1250105, 24.567, 53.168, 9.999568939e+00, 9.999694824e+00
1689038610.543517, 24.565, 53.17, 9.999582291e+00, 9.999683380e+00
1689038611.961854, 24.558, 53.166, 9.999585152e+00, 9.999692917e+00
1689038613.3803532, 24.567, 53.172, 9.999580383e+00, 9.999687195e+00
1689038614.798877, 24.561, 53.166, 9.999570847e+00, 9.999687195e+00
1689038616.2172065, 24.568, 53.172, 9.999570847e+00, 9.999699593e+00
1689038617.6357882, 24.565, 53.171, 9.999568939e+00, 9.999680519e+00
1689038619.0542212, 24.565, 53.172, 9.999585152e+00, 9.999694824e+00
1689038620.4727864, 24.575, 53.177, 9.999572754e+00, 9.999699593e+00
1689038621.8910737, 24.571, 53.172, 9.999553680e+00, 9.999692917e+00
1689038623.3095744, 24.57, 53.172, 9.999578476e+00, 9.999694824e+00
