t, ref_c, humidity, v_ch1, v_ch2
1689079079.038919, 23.784, 54.152, 9.999608994e+00, 9.999747276e+00
1689079080.4571826, 23.772, 54.151, 9.999610901e+00, 9.999732971e+00
1689079081.8757267, 23.782, 54.147, 9.999613762e+00, 9.999747276e+00
1689079083.2942667, 23.784, 54.157, 9.999597549e+00, 9.999737740e+00
1689079084.7127485, 23.779, 54.158, 9.999604225e+00, 9.999747276e+00
1689079086.131061, 23.778, 54.15, 9.999610901e+00, 9.999753952e+00
1689079087.5495648, 23.787, 54.148, 9.999616623e+00, 9.999747276e+00
1689079088.9680536, 23.785, 54.147, 9.999620438e+00, 9.999744415e+00
1689079090.3866105, 23.785, 54.145, 9.999608994e+00, 9.999734879e+00
1689079091.8051076, 23.787, 54.148, 9.999626160e+00, 9.999734879e+00
1689079093.2234402, 23.793, 54.149, 9.999601364e+00, 9.999742508e+00
1689079094.641924, 23.793, 54.149, 9.999613762e+00, 9.999742508e+00
1689079096.0604491, 23.789, 54.148, 9.999608994e+00, 9.999742508e+00
1689079097.4790661, 23.785, 54.15, 9.999607086e+00, 9.999740601e+00
1689079098.8975956, 23.79, 54.149, 9.999589920e+00, 9.999747276e+00
1689079100.315771, 23.789, 54.146, 9.999610901e+00, 9.999737740e+00
1689079101.7342515, 23.79, 54.148, 9.999589920e+00, 9.999750137e+00
1689079103.1528358, 23.792, 54.151, 9.999591827e+00, 9.999737740e+00
1689079104.5713093, 23.79, 54.15, 9.999589920e+00, 9.999756813e+00
1689079105.9897099, 23.795, 54.151, 9.999597549e+00, 9.999740601e+00
1689079107.4081063, 23.789, 54.153, 9.999601364e+00, 9.999750137e+00
1689079108.826664, 23.793, 54.158, 9.999591827e+00, 9.999756813e+00
1689079110.2451434, 23.792, 54.148, 9.999604225e+00, 9.999752045e+00
1689079111.6635237, 23.785, 54.162, 9.999594688e+00, 9.999750137e+00
1689079113.0819592, 23.787, 54.156, 9.999604225e+00, 9.999761581e+00
1689079114.500516, 23.798, 54.161, 9.999610901e+00, 9.999753952e+00
1689079115.9189944, 23.793, 54.16, 9.999597549e+00, 9.999759674e+00
1689079117.3372838, 23.795, 54.161, 9.999618530e+00, 9.999753952e+00
1689079118.7558663, 23.795, 54.156, 9.999599457e+00, 9.999761581e+00
1689079120.174326, 23.792, 54.158, 9.999591827e+00, 9.999747276e+00
1689079121.5926626, 23.796, 54.158, 9.999597549e+00, 9.999761581e+00
1689079123.0111701, 23.799, 54.152, 9.999588013e+00, 9.999750137e+00
1689079124.4297335, 23.812, 54.156, 9.999594688e+00, 9.999756813e+00
1689079125.8482375, 23.805, 54.153, 9.999591827e+00, 9.999752045e+00
1689079127.2666225, 23.805, 54.15, 9.999591827e+00, 9.999766350e+00
1689079128.6852903, 23.79, 54.151, 9.999570847e+00, 9.999750137e+00
1689079130.1036696, 23.798, 54.15, 9.999585152e+00, 9.999747276e+00
1689079131.5218744, 23.798, 54.149, 9.999594688e+00, 9.999759674e+00
1689079132.9403687, 23.799, 54.156, 9.999604225e+00, 9.999756813e+00
1689079134.3589203, 23.802, 54.148, 9.999607086e+00, 9.999761581e+00
1689079135.7773843, 23.796, 54.155, 9.999610901e+00, 9.999766350e+00
1689079137.1957157, 23.804, 54.149, 9.999610901e+00, 9.999747276e+00
1689079138.6142647, 23.805, 54.15, 9.999599457e+00, 9.999753952e+00
1689079140.0327117, 23.796, 54.153, 9.999608994e+00, 9.999759674e+00
1689079141.4512155, 23.795, 54.147, 9.999604225e+00, 9.999761581e+00
1689079142.8695452, 23.81, 54.155, 9.999620438e+00, 9.999766350e+00
1689079144.2880468, 23.804, 54.148, 9.999618530e+00, 9.999753952e+00
1689079145.7065594, 23.818, 54.153, 9.999599457e+00, 9.999769211e+00
1689079147.1250856, 23.798, 54.149, 9.999610901e+00, 9.999759674e+00
1689079148.54342, 23.796, 54.144, 9.999604225e+00, 9.999759674e+00
1689079149.9619129, 23.799, 54.144, 9.999594688e+00, 9.999761581e+00
1689079151.3804002, 23.802, 54.148, 9.999582291e+00, 9.999759674e+00
1689079152.798907, 23.799, 54.144, 9.999588013e+00, 9.999750137e+00
1689079154.2174954, 23.802, 54.153, 9.999607086e+00, 9.999753952e+00
1689079155.6357582, 23.802, 54.15, 9.999582291e+00, 9.999753952e+00
1689079157.0543194, 23.808, 54.151, 9.999580383e+00, 9.999761581e+00
1689079158.4726584, 23.798, 54.157, 9.999589920e+00, 9.999761581e+00
1689079159.8911035, 23.798, 54.156, 9.999580383e+00, 9.999763489e+00
1689079161.3101826, 23.799, 54.155, 9.999582291e+00, 9.999763489e+00
1689079162.7282345, 23.807, 54.168, 9.999588013e+00, 9.999756813e+00
