t, ref_c, humidity, v
1689103255.1100473, 24.331, 53.507, 1.000048733e+01
1689103256.5285738, 24.334, 53.507, 1.000071430e+01
1689103257.9468527, 24.337, 53.508, 1.000049496e+01
1689103259.3654451, 24.332, 53.505, 1.000046730e+01
1689103260.7838986, 24.337, 53.504, 1.000066566e+01
1689103262.2022097, 24.346, 53.503, 1.000054073e+01
1689103263.6206882, 24.346, 53.503, 1.000051022e+01
1689103265.0391872, 24.359, 53.505, 1.000048637e+01
1689103266.4576995, 24.351, 53.504, 1.000040054e+01
1689103267.8760233, 24.355, 53.506, 1.000032616e+01
1689103269.2945323, 24.362, 53.508, 1.000056171e+01
1689103270.7130573, 24.365, 53.504, 1.000032330e+01
1689103272.1314006, 24.366, 53.516, 1.000044727e+01
1689103273.5498962, 24.362, 53.516, 9.999792099e+00
1689103274.968391, 24.368, 53.514, 9.999659538e+00
1689103276.386786, 24.375, 53.519, 9.999639511e+00
1689103277.8055115, 24.374, 53.525, 9.999666214e+00
1689103279.223787, 24.377, 53.531, 9.999676704e+00
1689103280.642278, 24.383, 53.533, 9.999545097e+00
1689103282.0606017, 24.392, 53.543, 9.999579430e+00
1689103283.479173, 24.382, 53.549, 9.999722481e+00
1689103284.897631, 24.389, 53.553, 9.999751091e+00
1689103286.3160076, 24.383, 53.562, 9.999877930e+00
1689103287.7344556, 24.386, 53.566, 9.999793053e+00
1689103289.1529682, 24.394, 53.571, 1.000012684e+01
1689103290.5715146, 24.398, 53.582, 1.000053787e+01
1689103291.9900706, 24.404, 53.598, 1.000034809e+01
1689103293.4083796, 24.401, 53.595, 1.000045204e+01
1689103294.8268545, 24.408, 53.603, 1.000044727e+01
1689103296.2451298, 24.401, 53.61, 1.000047779e+01
1689103297.6636872, 24.409, 53.607, 1.000059605e+01
1689103299.08217, 24.408, 53.606, 1.000046539e+01
1689103300.5007432, 24.414, 53.616, 1.000046349e+01
1689103301.9190047, 24.415, 53.62, 1.000035667e+01
1689103303.3375173, 24.417, 53.626, 1.000058556e+01
1689103304.7559888, 24.417, 53.622, 1.000052071e+01
